Date_time,Open,High,Low,Close
2011-01-31,11882.1,11912.15,10373.8,10607.8
2011-02-28,10444.35,11300.45,10017.85,10499.75
2011-03-31,10512.2,11801.65,10364.35,11795.3
2011-04-30,11804.95,11978.05,11406.85,11463.3
2011-05-31,11509.3,11543.35,10339.95,10773.7
2011-06-30,10828.95,11170.35,10340.4,11170.35
2011-07-31,11183.25,11451.25,10758.4,10904.65
2011-08-31,11014.15,11064.9,8917.95,9556.15
2011-09-30,9707.45,9972.0,9165.8,9655.95
2011-10-31,9600.35,9932.4,8626.45,9911.1
2011-11-30,9932.0,10080.05,8240.45,8607.4
2011-12-31,8529.05,9273.1,7766.35,7958.05
2012-01-31,8009.85,9969.25,7888.25,9519.8
2012-02-29,9625.7,11226.75,9625.7,10478.7
2012-03-31,10561.75,10912.05,9845.4,10185.3
2012-04-30,10186.8,10645.85,10029.45,10232.1
2012-05-31,10210.1,10382.35,8995.25,9520.1
2012-06-30,9414.35,10360.0,9110.45,10300.5
2012-07-31,10366.5,10782.55,10056.15,10403.65
2012-08-31,10462.8,10640.75,9959.05,10088.95
2012-09-30,10037.0,11536.85,9814.05,11470.95
2012-10-31,11462.1,11745.2,10043.6,11176.05
2012-11-30,11204.95,12035.4,11125.2,12017.7
2012-12-31,12082.55,12571.6,12001.15,12457.15
2013-01-31,12442.85,12960.65,12427.7,12752.45
2013-02-28,12741.3,12852.5,11808.8,11924.45
2013-03-31,12007.0,12241.3,11048.4,11394.5
2013-04-30,11414.95,12755.8,10888.75,12571.85
2013-05-31,12638.0,13414.3,12188.3,12756.2
2013-06-30,12734.3,12760.45,11033.75,11598.4
2013-07-31,11597.45,11811.9,10195.5,10206.35
2013-08-31,10164.65,10219.6,8366.75,9066.95
2013-09-30,9112.8,11219.45,8605.65,9898.3
2013-10-31,9783.9,11366.45,9582.75,11241.0
2013-11-30,11211.3,11736.2,10412.05,11166.25
2013-12-31,11180.3,12225.95,11040.15,11372.4
2014-01-31,11410.25,11578.9,10101.2,10175.65
2014-02-28,10193.55,10768.95,9944.0,10721.2
2014-03-31,10793.6,12787.5,10613.0,12785.45
2014-04-30,12855.5,13268.6,12430.85,12918.7
2014-05-31,12946.1,15742.05,12738.6,14740.0
2014-06-30,14786.45,15725.8,14770.0,15011.2
2014-07-31,15059.1,15626.9,14338.65,15450.7
2014-08-31,15447.9,15973.35,14709.1,15714.3
2014-09-30,15790.25,16309.7,15168.4,15481.65
2014-10-31,15441.35,16776.35,15130.35,16744.6
2014-11-30,16812.45,18615.4,16783.65,18527.4
2014-12-31,18586.95,18923.6,17502.45,18661.25
2015-01-31,18659.6,20907.55,18211.5,19835.65
2015-02-28,19778.95,19991.4,18226.9,19104.0
2015-03-31,19306.5,20541.65,17720.3,18380.8
2015-04-30,18424.1,19038.5,17738.9,18341.15
2015-05-31,18318.85,18755.45,17246.55,18720.95
2015-06-30,18721.15,18832.5,17174.7,18268.45
2015-07-31,18204.85,19229.05,18086.8,18449.35
2015-08-31,18489.85,19103.7,16670.55,17190.2
2015-09-30,17137.25,17652.2,15762.2,17242.45
2015-10-31,17404.75,18029.05,17100.2,17335.4
2015-11-30,17351.45,17466.2,16587.25,17362.7
2015-12-31,17336.25,17498.35,16188.05,16926.9
2016-01-31,16916.05,17066.65,14754.95,15514.85
2016-02-29,15547.75,15565.5,13519.9,13814.6
2016-03-31,13818.9,16167.5,13411.6,16144.55
2016-04-30,16134.4,17028.95,15440.25,16766.85
2016-05-31,16614.0,17665.95,16186.25,17495.15
2016-06-30,17615.1,18051.5,16946.35,17685.35
2016-07-31,17825.3,19158.0,17795.9,18950.35
