Date_time,Open,High,Low,Close
2011-01-10,11882.1,11912.15,11007.9,11017.45
2011-01-17,11024.5,11161.15,10387.9,10443.75
2011-01-24,10459.6,10923.7,10373.8,10890.75
2011-01-31,10923.75,11256.95,10481.1,10607.8
2011-02-07,10444.35,10772.45,10385.9,10424.35
2011-02-14,10457.8,10509.8,10017.85,10456.95
2011-02-21,10477.85,11300.45,10477.85,10970.0
2011-02-28,10935.3,11070.35,10169.0,10499.75
2011-03-07,10512.2,11134.1,10364.35,10981.4
2011-03-14,10886.1,11054.0,10658.3,10734.25
2011-03-21,10730.4,11018.3,10591.3,10707.65
2011-03-28,10795.65,11420.4,10661.15,11354.25
2011-04-04,11348.85,11898.4,11348.15,11603.95
2011-04-11,11614.45,11861.15,11614.45,11679.15
2011-04-18,11591.0,11950.7,11490.55,11734.8
2011-04-25,11754.2,11926.05,11482.15,11886.95
2011-05-02,11860.35,11978.05,11406.85,11463.3
2011-05-09,11509.3,11543.35,10677.3,11130.6
2011-05-16,11194.45,11213.5,10838.15,11058.0
2011-05-23,10975.15,10975.15,10524.35,10657.25
2011-05-30,10612.55,10735.2,10339.95,10722.45
2011-06-06,10742.0,11056.4,10715.1,10807.85
2011-06-13,10734.25,10918.25,10627.6,10709.6
2011-06-20,10675.3,10830.4,10502.4,10586.4
2011-06-27,10592.65,10875.25,10340.4,10853.1
2011-07-04,10808.9,11359.95,10774.1,11265.5
2011-07-11,11379.05,11451.25,11232.15,11278.4
2011-07-18,11275.0,11385.35,10941.3,11239.55
2011-07-25,11234.7,11388.5,11021.7,11305.4
2011-08-01,11286.25,11433.1,10758.4,10904.65
2011-08-08,11014.15,11064.9,10150.3,10379.6
2011-08-15,10121.4,10516.9,9920.8,10173.4
2011-08-22,10315.1,10315.1,9280.25,9423.1
2011-08-29,9422.65,9561.9,8917.95,8959.75
2011-09-05,9099.85,9707.45,9099.85,9582.35
2011-09-12,9509.0,9972.0,9364.6,9649.75
2011-09-19,9550.95,9798.75,9260.9,9732.9
2011-09-26,9664.35,9962.95,9284.65,9366.9
2011-10-03,9373.95,9688.65,9165.8,9461.85
2011-10-10,9332.6,9332.6,8626.45,9024.35
2011-10-17,9051.0,9691.85,8982.9,9658.5
2011-10-24,9717.35,9865.85,9492.95,9701.9
2011-10-31,9819.5,9932.4,9323.0,9911.1
2011-11-07,9932.0,10080.05,9648.65,9840.15
2011-11-14,9855.95,9896.15,9270.35,9301.45
